Time,0.3 µm,0.5 µm,1.0 µm,2.5 µm,5.0 µm,10 µm,Temp,RH,Smooth,None
1247806260,10.2,34.32,65.34,0,0,0,0,0,0,0
1247806260,10.2,34.32,65.34,0,0,0,0,0,0,0
1265444940,87,25,1,1,0,0,32.4,0,166.32,0
1265445000,138,38,2,0,0,0,32.39,0,164.22,0
1265445060,132,36,2,0,0,0,32.38,0.01,162,0
1265445720,105,30,2,0,0,0,32.43,0.06,147.42,0
1265445780,75,20,4,1,0,0,32.44,0,145.56,0
1265445840,75,20,4,1,0,0,32.43,0.04,143.7,0
1265445900,0,0,0,0,0,0,32.76,0.37,0,0
1265446020,198,42,2,0,0,0,32.15,0.63,3.96,0
1265446080,174,49,7,0,0,0,31.9,0.51,7.44,0
1265446140,174,49,7,0,0,0,31.63,0.66,10.92,0
1265446200,126,41,2,0,0,0,31.25,0.79,13.44,0
1265446200,126,41,2,0,0,0,30.97,0.92,15.96,0
1265446260,117,30,6,0,0,0,30.33,1.2,18.3,0
1265446320,117,30,6,0,0,0,30.31,1.17,20.64,0
1265446380,117,37,7,2,0,0,30.34,1.14,22.98,0
1265446440,123,39,7,2,0,0,30.37,1.1,25.44,0
1265446500,105,30,8,2,1,0,30.11,1.21,27.54,0
1265446560,105,30,8,2,1,0,30.01,1.27,29.64,0
1265446620,162,47,1,0,0,0,30.03,1.26,32.88,0
1265446680,162,47,1,0,0,0,30.12,1.2,36.12,0
1265446740,162,52,3,0,0,0,30.04,1.21,39.36,0
1265446800,162,52,3,0,0,0,29.97,1.19,42.6,0
1265446860,90,26,3,1,0,0,29.94,1.15,44.4,0
1265446920,102,26,3,1,0,0,29.91,1.13,46.44,0
1265446980,105,24,4,1,0,0,29.76,1.21,2.1,0
1265446980,111,28,4,0,0,0,29.68,1.23,2.22,0
1265447040,186,59,10,1,1,0,29.77,1.3,5.94,0
1265447100,177,43,7,1,0,0,29.6,1.35,3.54,0
1265447160,108,27,3,0,0,0,29.63,1.33,5.7,0
1265447220,108,27,3,0,0,0,29.59,1.35,7.86,0
1265447340,162,48,7,0,0,0,29.52,1.41,3.24,0
1265447400,192,50,4,0,0,0,29.53,1.41,7.08,0
1265447460,186,57,6,1,0,0,29.43,1.43,3.72,0
1265447520,123,37,3,0,0,0,29.34,1.51,6.18,0
1265447580,180,47,5,0,0,0,29.28,1.57,3.6,0
1265447580,126,36,6,0,0,0,29.14,1.7,2.52,0
1265447640,111,35,5,0,0,0,29.29,1.65,4.74,0
1265447700,126,36,5,0,0,0,29.46,1.54,7.26,0
1265972880,162,46,8,0,0,0,25.64,0.3,3.24,0
1265972940,309,86,10,0,0,0,26.05,0.45,6.18,0
1265973060,228,66,14,2,0,0,26.82,0.79,4.56,0
1265973120,264,80,10,2,0,0,27.42,0.97,9.84,0
1265973180,234,70,6,0,0,0,27.94,1.23,14.52,0
1265973240,192,58,8,0,0,0,28.3,1.17,18.36,0
1265973240,282,78,2,0,0,0,28.46,1.38,5.64,0
1265973300,300,90,16,0,0,0,28.7,1.49,6,0
1265973420,0,0,0,0,0,0,29.31,1.63,0,0
1265973480,168,54,14,0,0,0,29.34,0.45,3.36,0
1265973540,0,0,0,0,0,0,29.68,0.08,0,0
1265973600,198,58,10,0,0,0,29.73,1.69,3.96,0
1265973660,222,64,10,0,0,0,29.79,1.72,8.4,0
1265973720,240,70,8,0,0,0,29.93,1.74,13.2,0
1265973780,246,72,8,0,0,0,30.06,1.4,18.12,0
1265973840,204,58,10,0,0,0,30.16,1.61,22.2,0
1265973900,204,58,10,0,0,0,30.27,1.88,26.28,0
1265973960,210,56,10,0,0,0,30.34,1.7,30.48,0
1265974020,210,56,10,0,0,0,30.46,1.92,34.68,0
1265974080,150,42,8,0,0,0,30.53,2,37.68,0
1265974140,150,42,8,0,0,0,30.65,2.01,40.68,0
1265974200,204,52,8,0,0,0,30.74,2.05,44.76,0
1265974260,204,52,8,0,0,0,30.81,2.04,48.84,0
1265974320,228,60,14,4,0,0,30.87,2.11,53.4,0
1265974380,228,56,12,4,0,0,30.95,2.14,57.96,0
1265974440,156,46,6,0,0,0,30.99,2.07,61.08,0
1265974500,150,44,6,0,0,0,31.07,2.15,64.08,0
1265974560,225,67,6,0,0,0,31.12,2.18,68.58,0
1265974620,237,71,6,0,0,0,31.19,2.3,73.32,0
1265974680,252,68,6,0,0,0,31.24,2.15,78.36,0
1265974740,258,68,6,0,0,0,31.28,2.18,83.52,0
1265974800,240,78,20,0,0,0,31.33,2.27,88.32,0
1265974860,210,68,20,0,0,0,31.38,2.27,92.52,0
1265974920,198,56,12,0,0,0,31.39,1.32,96.48,0
1265974980,180,50,12,0,0,0,31.4,2.14,100.08,0
1265975040,174,48,8,0,0,0,31.41,2.19,103.56,0
1265975100,174,48,8,0,0,0,31.41,2.17,107.04,0
1265975160,219,61,16,2,0,0,31.41,2.3,111.42,0
1265975220,219,61,16,2,0,0,31.43,2.23,115.8,0
1265975280,234,68,10,0,0,0,31.46,2.23,120.48,0
1265975280,234,68,10,0,0,0,31.49,2.04,125.16,0
1265975340,198,56,10,0,0,0,31.49,2.07,129.12,0
1265975400,198,56,10,0,0,0,31.49,2.21,133.08,0
1265975460,192,56,8,2,0,0,31.53,1.97,136.92,0
1265975520,192,56,8,2,0,0,31.55,1.76,140.76,0
1265975580,222,66,4,0,0,0,31.56,2.06,145.2,0
1265975640,222,66,4,0,0,0,31.58,1.88,149.64,0
1265975700,228,62,8,2,0,0,31.58,1.72,154.2,0
1265975760,228,62,8,2,0,0,31.59,1.66,158.76,0
1265975820,180,56,6,0,0,0,31.58,1.81,162.36,0
1265975880,180,56,6,0,0,0,31.61,2.07,165.96,0
1265975940,240,66,10,0,0,0,31.64,1.59,170.76,0
1265976000,240,66,10,0,0,0,31.65,1.91,175.56,0
1265976060,204,58,8,2,0,0,31.66,2.18,179.64,0
1265976120,204,58,8,2,0,0,31.66,2.23,183.72,0
1265976180,222,66,12,2,0,0,31.69,2.06,188.16,0
1265976240,222,66,12,2,0,0,31.69,2.07,192.6,0
1265976300,264,74,14,0,0,0,31.72,2.08,197.88,0
1265976360,264,74,14,0,0,0,31.74,1.99,203.16,0
1265976420,240,76,14,0,0,0,31.78,1.82,207.96,0
1265976480,240,76,14,0,0,0,31.78,1.94,212.76,0
1265976540,246,74,12,2,0,0,31.8,1.98,213.72,0
1265976600,246,74,12,2,0,0,31.81,2.07,214.2,0
1265976660,327,96,12,2,2,2,31.81,2.21,215.94,0
1265976720,327,96,12,2,2,2,31.8,1.8,217.56,0
1265976780,264,68,10,0,0,0,31.85,2.2,218.76,0
1265976840,264,68,10,0,0,0,31.89,2.22,219.96,0
1265976900,282,74,14,2,0,0,31.92,2.14,221.4,0
1265976960,282,74,14,2,0,0,31.9,2.2,222.84,0
1265977020,291,84,12,2,0,0,31.92,2.19,225.66,0
1265977080,291,84,12,2,0,0,31.96,2.18,228.48,0
1265977140,216,56,6,0,0,0,31.98,2.24,228.72,0
1265977200,216,56,6,0,0,0,32.01,2.17,228.96,0
1265977260,240,66,10,2,0,0,32.03,2.36,229.2,0
1265977320,240,66,10,2,0,0,31.98,2.33,229.44,0
1265977380,222,62,10,0,0,0,32.01,2.22,230.76,0
1265977380,222,62,10,0,0,0,32.02,2.29,232.2,0
1265977440,252,78,18,0,0,0,32.03,2.3,232.74,0
1265977500,252,78,18,0,0,0,32.03,2.3,233.04,0
1265977560,198,64,8,0,0,0,32.03,2.36,231.96,0
1265977620,198,64,8,0,0,0,32.01,2.3,230.76,0
1265977680,180,56,12,0,0,0,32.01,2.26,229.56,0
1265977740,180,56,12,0,0,0,32.02,2.26,228.96,0
1265977800,312,88,12,0,0,0,32.03,2.49,231.24,0
1265977860,312,88,12,0,0,0,32.03,2.46,233.88,0
1265977920,312,86,20,0,0,0,32,2.37,236.64,0
1265977980,312,86,20,0,0,0,32.04,2.15,239.4,0
1265978040,246,72,16,2,2,0,32.03,2.36,239.94,0
1265978100,246,72,16,2,2,0,32.02,2.25,240.48,0
1265978160,168,44,10,0,0,0,32.03,2.32,239.16,0
1265978220,168,44,10,0,0,0,32.04,2.36,237.84,0
1265978280,246,72,16,4,2,2,32.05,2.21,238.8,0
